"","ID","CHR","MAPINFO","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","Relation_to_UCSC_CpG_Island"
"cg03040401","cg03040401","16",2226080,"TRAF7","NM_032271","Body","Island"
"cg09161211","cg09161211","16",2226308,"TRAF7","NM_032271","Body","Island"
"cg00769818","cg00769818","16",2227872,"CASKIN1;TRAF7","NM_020764;NM_032271","3'UTR;3'UTR","N_Shore"
"cg10813070","cg10813070","16",2228344,"CASKIN1","NM_020764","3'UTR","Island"
"cg02049404","cg02049404","16",2228350,"CASKIN1","NM_020764","3'UTR","Island"
"cg01137955","cg01137955","16",2228828,"CASKIN1","NM_020764","Body","Island"
"cg06831064","cg06831064","16",2229298,"CASKIN1","NM_020764","Body","Island"
"cg06811778","cg06811778","16",2230200,"CASKIN1","NM_020764","Body","Island"
"cg10191283","cg10191283","16",2231807,"CASKIN1","NM_020764","Body","N_Shore"
"cg00248521","cg00248521","16",2232251,"CASKIN1","NM_020764","Body","N_Shore"
"cg04448933","cg04448933","16",2232475,"CASKIN1","NM_020764","Body","N_Shore"
"cg00915974","cg00915974","16",2233798,"CASKIN1","NM_020764","Body","Island"
"cg06713550","cg06713550","16",2233912,"CASKIN1","NM_020764","Body","Island"
"cg06803853","cg06803853","16",2234031,"CASKIN1","NM_020764","Body","Island"
"cg00182994","cg00182994","16",2234571,"CASKIN1","NM_020764","Body","S_Shore"
"cg02038492","cg02038492","16",2235025,"CASKIN1","NM_020764","Body","N_Shore"
"cg07094340","cg07094340","16",2236773,"CASKIN1","NM_020764","Body","Island"
"cg10118998","cg10118998","16",2236938,"CASKIN1","NM_020764","Body","Island"
"cg07109743","cg07109743","16",2237020,"CASKIN1","NM_020764","Body","S_Shore"
"cg08938612","cg08938612","16",2237221,"CASKIN1","NM_020764","Body","S_Shore"
"cg03524868","cg03524868","16",2239275,"CASKIN1","NM_020764","Body","S_Shelf"
"cg02248941","cg02248941","16",2239361,"CASKIN1","NM_020764","Body","S_Shelf"
"cg07587117","cg07587117","16",2239488,"CASKIN1","NM_020764","Body","S_Shelf"
"cg16553338","cg16553338","16",2242886,"CASKIN1","NM_020764","Body","N_Shelf"
"cg01964795","cg01964795","16",2242896,"CASKIN1","NM_020764","Body","N_Shelf"
"cg07380219","cg07380219","16",2245534,"CASKIN1","NM_020764","Body","N_Shore"
"cg02812662","cg02812662","16",2245987,"CASKIN1","NM_020764","Body","Island"
"cg14309262","cg14309262","16",2245992,"CASKIN1","NM_020764","Body","Island"
"cg06722589","cg06722589","16",2246986,"CASKIN1","NM_020764","TSS1500","Island"
"cg03260765","cg03260765","16",2247229,"CASKIN1","NM_020764","TSS1500","S_Shore"
"cg01446350","cg01446350","16",2250101,"","","","S_Shelf"
"cg09596050","cg09596050","16",2252092,"","","","N_Shelf"
"cg08737236","cg08737236","16",2254692,"MLST8","NM_022372","TSS1500","N_Shore"
"cg04490516","cg04490516","16",2255169,"MLST8","NM_022372","TSS1500","Island"
"cg05030077","cg05030077","16",2255199,"MLST8","NM_022372","TSS1500","Island"
"cg01758885","cg01758885","16",2255272,"MLST8","NM_022372","TSS200","Island"
"cg11395975","cg11395975","16",2255950,"MLST8","NM_022372","5'UTR","S_Shore"
"cg04079779","cg04079779","16",2256121,"MLST8","NM_022372","Body","S_Shore"
"cg03910196","cg03910196","16",2256384,"MLST8","NM_022372","Body","S_Shore"
"cg09616053","cg09616053","16",2256512,"MLST8","NM_022372","Body","S_Shore"
"cg01500402","cg01500402","16",2256716,"MLST8","NM_022372","Body","S_Shore"
"cg07552087","cg07552087","16",2258457,"MLST8","NM_022372","Body","S_Shelf"
"cg08397920","cg08397920","16",2258580,"MLST8","NM_022372","Body","S_Shelf"
"cg05248960","cg05248960","16",2259336,"C16orf79;MLST8","NM_182563;NM_022372","3'UTR;3'UTR","S_Shelf"
"cg03689568","cg03689568","16",2259923,"C16orf79","NM_182563","Body","N_Shelf"
"cg07032866","cg07032866","16",2260770,"C16orf79","NM_182563","Body","N_Shelf"
"cg26873644","cg26873644","16",2260806,"C16orf79","NM_182563","1stExon","N_Shelf"
"cg25665528","cg25665528","16",2260870,"C16orf79;C16orf79","NM_182563;NM_182563","1stExon;5'UTR","N_Shelf"
"cg11648456","cg11648456","16",2261069,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg07105046","cg07105046","16",2261082,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg07762234","cg07762234","16",2261099,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg10160842","cg10160842","16",2261107,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg26939297","cg26939297","16",2261143,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg05258689","cg05258689","16",2261168,"C16orf79","NM_182563","TSS200","N_Shelf"
"cg01966105","cg01966105","16",2261237,"C16orf79","NM_182563","TSS1500","N_Shelf"
"cg08358426","cg08358426","16",2262092,"C16orf79;PGP","NM_182563;NM_001042371","TSS1500;3'UTR","N_Shore"
"cg03960100","cg03960100","16",2262165,"C16orf79;PGP","NM_182563;NM_001042371","TSS1500;3'UTR","N_Shore"
"cg06104975","cg06104975","16",2262804,"PGP","NM_001042371","3'UTR","N_Shore"
"cg01701585","cg01701585","16",2263913,"PGP","NM_001042371","Body","Island"
"cg02242919","cg02242919","16",2264594,"PGP","NM_001042371","1stExon","Island"
"cg04593445","cg04593445","16",2265125,"PGP","NM_001042371","TSS1500","Island"
"cg09096612","cg09096612","16",2265388,"PGP","NM_001042371","TSS1500","Island"
"cg21476593","cg21476593","16",2265427,"PGP","NM_001042371","TSS1500","Island"
"cg11614195","cg11614195","16",2265446,"PGP","NM_001042371","TSS1500","S_Shore"
"cg05518269","cg05518269","16",2265528,"PGP","NM_001042371","TSS1500","S_Shore"
"cg07639473","cg07639473","16",2270781,"","","","N_Shelf"
"cg08409451","cg08409451","16",2273123,"E4F1","NM_004424","TSS1500","N_Shore"
"cg01095819","cg01095819","16",2273298,"E4F1","NM_004424","TSS1500","Island"
"cg09615982","cg09615982","16",2273300,"E4F1","NM_004424","TSS1500","Island"
"cg07036730","cg07036730","16",2273332,"E4F1","NM_004424","TSS1500","Island"
"cg06483896","cg06483896","16",2273434,"E4F1","NM_004424","TSS200","Island"
"cg06380923","cg06380923","16",2273553,"E4F1","NM_004424","TSS200","Island"
"cg02336491","cg02336491","16",2273898,"E4F1","NM_004424","Body","Island"
"cg02560615","cg02560615","16",2274210,"E4F1","NM_004424","Body","S_Shore"
"cg03228065","cg03228065","16",2276770,"E4F1","NM_004424","Body","S_Shelf"
"cg10484107","cg10484107","16",2281688,"E4F1","NM_004424","Body","N_Shelf"
"cg08079787","cg08079787","16",2282372,"E4F1","NM_004424","Body","N_Shore"
"cg03929747","cg03929747","16",2282618,"E4F1","NM_004424","Body","N_Shore"
"cg04152767","cg04152767","16",2282957,"E4F1","NM_004424","Body","N_Shore"
"cg08082299","cg08082299","16",2284125,"E4F1","NM_004424","Body","Island"
"cg01416906","cg01416906","16",2284264,"E4F1","NM_004424","Body","Island"
"cg26476595","cg26476595","16",2284284,"E4F1","NM_004424","Body","Island"
"cg05319934","cg05319934","16",2284375,"E4F1","NM_004424","Body","N_Shore"
"cg02484343","cg02484343","16",2284734,"E4F1","NM_004424","Body","Island"
"cg08835258","cg08835258","16",2285252,"DNASE1L2;E4F1","NM_001374;NM_004424","TSS1500;Body","Island"
"cg10470408","cg10470408","16",2285495,"DNASE1L2;E4F1","NM_001374;NM_004424","TSS1500;Body","Island"
"cg08921185","cg08921185","16",2285536,"DNASE1L2;E4F1","NM_001374;NM_004424","TSS1500;Body","Island"
"cg03552663","cg03552663","16",2285585,"E4F1;DNASE1L2","NM_004424;NM_001374","3'UTR;TSS1500","Island"
"cg24237576","cg24237576","16",2285775,"DNASE1L2","NM_001374","TSS1500","N_Shore"
"cg08988951","cg08988951","16",2286370,"DNASE1L2","NM_001374","TSS200","N_Shore"
"cg05581415","cg05581415","16",2286492,"DNASE1L2;DNASE1L2","NM_001374;NM_001374","1stExon;5'UTR","N_Shore"
"cg12619509","cg12619509","16",2286601,"DNASE1L2","NM_001374","5'UTR","Island"
"cg27557378","cg27557378","16",2286786,"DNASE1L2","NM_001374","5'UTR","Island"
"cg06235653","cg06235653","16",2287161,"DNASE1L2","NM_001374","Body","Island"
"cg09219877","cg09219877","16",2287294,"DNASE1L2","NM_001374","Body","Island"
"cg00249383","cg00249383","16",2287763,"DNASE1L2","NM_001374","Body","Island"
"cg17300750","cg17300750","16",2288072,"DNASE1L2","NM_001374","Body","Island"
"cg00684043","cg00684043","16",2288665,"DNASE1L2","NM_001374","3'UTR","S_Shore"
"cg05268122","cg05268122","16",2288808,"","","","S_Shore"
"cg01011054","cg01011054","16",2289978,"DCI","NM_001919","3'UTR","S_Shore"
"cg08876370","cg08876370","16",2291046,"DCI","NM_001919","Body","S_Shelf"
"cg09743906","cg09743906","16",2293027,"DCI","NM_001919","Body",""
"cg04460041","cg04460041","16",2293178,"DCI","NM_001919","Body",""
"cg02363010","cg02363010","16",2294493,"DCI","NM_001919","Body",""
"cg07102406","cg07102406","16",2294639,"DCI","NM_001919","Body",""
"cg27608139","cg27608139","16",2294856,"DCI","NM_001919","Body",""
"cg27107485","cg27107485","16",2295352,"DCI","NM_001919","Body",""
"cg03815334","cg03815334","16",2295468,"DCI","NM_001919","Body",""
"cg27289497","cg27289497","16",2298129,"DCI","NM_001919","Body","N_Shelf"
"cg16671360","cg16671360","16",2300569,"DCI","NM_001919","Body","N_Shore"
"cg05824432","cg05824432","16",2301222,"DCI","NM_001919","Body","Island"
"cg20886062","cg20886062","16",2301787,"DCI","NM_001919","TSS200","Island"
"cg03227353","cg03227353","16",2301881,"DCI","NM_001919","TSS1500","Island"
"cg26585644","cg26585644","16",2302081,"DCI","NM_001919","TSS1500","S_Shore"
"cg09970941","cg09970941","16",2302519,"DCI","NM_001919","TSS1500","S_Shore"
"cg01573470","cg01573470","16",2303733,"RNPS1;RNPS1","NM_006711;NM_080594","3'UTR;3'UTR","S_Shore"
"cg03934844","cg03934844","16",2304059,"RNPS1;RNPS1","NM_080594;NM_006711","Body;Body","S_Shelf"
"cg08602694","cg08602694","16",2304285,"RNPS1;RNPS1","NM_080594;NM_006711","Body;Body","S_Shelf"
"cg01708693","cg01708693","16",2314216,"RNPS1;RNPS1","NM_080594;NM_006711","Body;Body","N_Shelf"
"cg27592465","cg27592465","16",2315779,"RNPS1;RNPS1","NM_080594;NM_006711","5'UTR;5'UTR","N_Shore"
"cg16357719","cg16357719","16",2317538,"RNPS1;RNPS1","NM_080594;NM_006711","5'UTR;5'UTR","Island"
"cg08301299","cg08301299","16",2317849,"RNPS1;RNPS1","NM_080594;NM_006711","5'UTR;TSS200","Island"
"cg27129286","cg27129286","16",2318236,"RNPS1;RNPS1","NM_080594;NM_006711","TSS200;TSS1500","Island"
"cg06728335","cg06728335","16",2318300,"RNPS1;RNPS1","NM_080594;NM_006711","TSS200;TSS1500","Island"
"cg01555029","cg01555029","16",2318365,"RNPS1;RNPS1","NM_080594;NM_006711","TSS1500;TSS1500","Island"
"cg06314129","cg06314129","16",2318814,"RNPS1;RNPS1","NM_080594;NM_006711","TSS1500;TSS1500","Island"
"cg22137448","cg22137448","16",2318988,"RNPS1;RNPS1","NM_080594;NM_006711","TSS1500;TSS1500","Island"
"cg00876678","cg00876678","16",2319586,"RNPS1","NM_080594","TSS1500","S_Shore"
"cg02920449","cg02920449","16",2320411,"MIR940","NR_030636","TSS1500","S_Shore"
"cg02528154","cg02528154","16",2321168,"MIR940","NR_030636","TSS1500","S_Shelf"
"cg09195657","cg09195657","16",2321187,"MIR940","NR_030636","TSS1500","S_Shelf"
"cg08318085","cg08318085","16",2321558,"MIR940","NR_030636","TSS200","S_Shelf"
"cg09452257","cg09452257","16",2321599,"MIR940","NR_030636","TSS200","S_Shelf"
"cg07009125","cg07009125","16",2321791,"MIR940","NR_030636","Body","S_Shelf"
"cg16552128","cg16552128","16",2325856,"","","",""
"cg07737682","cg07737682","16",2325986,"ABCA3","NM_001089","3'UTR",""
"cg10154010","cg10154010","16",2326080,"ABCA3","NM_001089","3'UTR",""
"cg06335980","cg06335980","16",2326666,"ABCA3","NM_001089","3'UTR",""
"cg10275969","cg10275969","16",2326752,"ABCA3","NM_001089","Body",""
"cg02124920","cg02124920","16",2331265,"ABCA3","NM_001089","Body","N_Shelf"
"cg07701514","cg07701514","16",2331427,"ABCA3","NM_001089","Body","N_Shelf"
"cg05814755","cg05814755","16",2331460,"ABCA3","NM_001089","Body","N_Shelf"
"cg08490220","cg08490220","16",2332752,"ABCA3","NM_001089","Body","N_Shore"
"cg01491428","cg01491428","16",2334163,"ABCA3","NM_001089","Body","Island"
"cg09681286","cg09681286","16",2334256,"ABCA3","NM_001089","Body","Island"
"cg00644103","cg00644103","16",2334337,"ABCA3","NM_001089","Body","Island"
"cg19754709","cg19754709","16",2334346,"ABCA3","NM_001089","Body","Island"
"cg09954729","cg09954729","16",2334596,"ABCA3","NM_001089","Body","S_Shore"
"cg09945896","cg09945896","16",2335328,"ABCA3","NM_001089","Body","S_Shore"
"cg00718541","cg00718541","16",2336855,"ABCA3","NM_001089","Body","N_Shore"
"cg05654361","cg05654361","16",2338111,"ABCA3","NM_001089","Body","Island"
"cg05824333","cg05824333","16",2338267,"ABCA3","NM_001089","Body","Island"
"cg07301574","cg07301574","16",2338454,"ABCA3","NM_001089","Body","Island"
"cg09481056","cg09481056","16",2339260,"ABCA3","NM_001089","Body","Island"
"cg09632163","cg09632163","16",2339292,"ABCA3","NM_001089","Body","Island"
"cg01278797","cg01278797","16",2339405,"ABCA3","NM_001089","Body","Island"
"cg05147509","cg05147509","16",2339536,"ABCA3","NM_001089","Body","Island"
"cg04149930","cg04149930","16",2340461,"ABCA3","NM_001089","Body","S_Shore"
"cg06933862","cg06933862","16",2341628,"ABCA3","NM_001089","Body","S_Shelf"
"cg09263316","cg09263316","16",2345275,"ABCA3","NM_001089","Body","N_Shelf"
"cg20915212","cg20915212","16",2347283,"ABCA3","NM_001089","Body","Island"
"cg08322747","cg08322747","16",2347298,"ABCA3","NM_001089","Body","Island"
"cg00039478","cg00039478","16",2347504,"ABCA3","NM_001089","Body","Island"
"cg08131081","cg08131081","16",2347567,"ABCA3","NM_001089","Body","Island"
"cg10125193","cg10125193","16",2347837,"ABCA3","NM_001089","Body","S_Shore"
"cg02257312","cg02257312","16",2349017,"ABCA3","NM_001089","Body","S_Shore"
"cg08449748","cg08449748","16",2349846,"ABCA3","NM_001089","Body","S_Shelf"
"cg01550915","cg01550915","16",2358379,"ABCA3","NM_001089","Body",""
"cg02715407","cg02715407","16",2369686,"ABCA3","NM_001089","Body",""
"cg04058100","cg04058100","16",2369711,"ABCA3","NM_001089","Body",""
"cg05093254","cg05093254","16",2369796,"ABCA3","NM_001089","Body",""
"cg06780216","cg06780216","16",2374397,"ABCA3","NM_001089","Body",""
"cg16463165","cg16463165","16",2374474,"ABCA3","NM_001089","Body",""
"cg07753939","cg07753939","16",2374515,"ABCA3","NM_001089","Body",""
"cg06250288","cg06250288","16",2380923,"ABCA3","NM_001089","5'UTR",""
"cg04783228","cg04783228","16",2381245,"ABCA3","NM_001089","5'UTR",""
"cg08644341","cg08644341","16",2382549,"ABCA3","NM_001089","5'UTR",""
"cg09722408","cg09722408","16",2382623,"ABCA3","NM_001089","5'UTR",""
"cg02543796","cg02543796","16",2389102,"ABCA3","NM_001089","5'UTR","N_Shore"
"cg12878183","cg12878183","16",2389707,"ABCA17P;ABCA3","NR_003574;NM_001089","TSS1500;5'UTR","Island"
"cg02882733","cg02882733","16",2390368,"ABCA17P;ABCA3","NR_003574;NM_001089","TSS1500;5'UTR","Island"
"cg07915849","cg07915849","16",2391402,"ABCA17P;ABCA3","NR_003574;NM_001089","Body;TSS1500","Island"
"cg00795900","cg00795900","16",2392201,"ABCA17P;ABCA3","NR_003574;NM_001089","Body;TSS1500","S_Shore"
"cg04119462","cg04119462","16",2415808,"ABCA17P","NR_003574","Body",""
"cg26807340","cg26807340","16",2436216,"ABCA17P","NR_003574","Body",""
"cg02847766","cg02847766","16",2470641,"ABCA17P","NR_003574","Body",""
"cg06979342","cg06979342","16",2475057,"ABCA17P","NR_003574","Body","N_Shelf"
"cg00591660","cg00591660","16",2478353,"CCNF","NM_001761","TSS1500","N_Shore"
"cg06361108","cg06361108","16",2478781,"CCNF","NM_001761","TSS1500","Island"
"cg10505740","cg10505740","16",2478800,"CCNF","NM_001761","TSS1500","Island"
"cg04952599","cg04952599","16",2479381,"CCNF","NM_001761","TSS200","Island"
"cg07561469","cg07561469","16",2479406,"CCNF;CCNF","NM_001761;NM_001761","1stExon;5'UTR","Island"
"cg02346057","cg02346057","16",2479628,"CCNF","NM_001761","Body","Island"
"cg02132364","cg02132364","16",2479951,"CCNF","NM_001761","Body","Island"
"cg06689536","cg06689536","16",2480094,"CCNF","NM_001761","Body","S_Shore"
"cg26647200","cg26647200","16",2482775,"CCNF","NM_001761","Body","S_Shelf"
"cg08460326","cg08460326","16",2495218,"CCNF","NM_001761","Body",""
"cg04170853","cg04170853","16",2495399,"CCNF","NM_001761","Body",""
"cg00629102","cg00629102","16",2495471,"CCNF","NM_001761","Body",""
"cg26955755","cg26955755","16",2497840,"CCNF","NM_001761","Body",""
"cg01190323","cg01190323","16",2498952,"CCNF","NM_001761","Body",""
"cg07923806","cg07923806","16",2499144,"CCNF","NM_001761","Body",""
"cg02796204","cg02796204","16",2499223,"CCNF","NM_001761","Body",""
"cg00833562","cg00833562","16",2501147,"CCNF","NM_001761","Body",""
"cg00327106","cg00327106","16",2501226,"CCNF","NM_001761","Body",""
"cg26757376","cg26757376","16",2502116,"CCNF","NM_001761","Body",""
"cg05565277","cg05565277","16",2502146,"CCNF","NM_001761","Body",""
"cg02573134","cg02573134","16",2502163,"CCNF","NM_001761","Body",""
"cg05870645","cg05870645","16",2503590,"CCNF","NM_001761","Body",""
"cg05922796","cg05922796","16",2503678,"CCNF","NM_001761","Body",""
"cg27128042","cg27128042","16",2507614,"CCNF","NM_001761","3'UTR","N_Shelf"
"cg01108445","cg01108445","16",2509198,"C16orf59","NM_025108","TSS1500","N_Shore"
"cg05832487","cg05832487","16",2509755,"C16orf59","NM_025108","TSS1500","N_Shore"
"cg08935602","cg08935602","16",2509817,"C16orf59","NM_025108","TSS1500","Island"
"cg25106635","cg25106635","16",2510001,"C16orf59","NM_025108","TSS200","Island"
"cg02916409","cg02916409","16",2510063,"C16orf59","NM_025108","TSS200","Island"
"cg07326074","cg07326074","16",2510388,"C16orf59","NM_025108","Body","Island"
"cg26876114","cg26876114","16",2511507,"C16orf59","NM_025108","Body","S_Shore"
"cg04320044","cg04320044","16",2512503,"C16orf59","NM_025108","Body","S_Shelf"
"cg09420961","cg09420961","16",2514931,"C16orf59","NM_025108","3'UTR","N_Shelf"
"cg00952706","cg00952706","16",2516843,"","","","N_Shore"
"cg05624300","cg05624300","16",2517622,"","","","Island"
"cg27534281","cg27534281","16",2517768,"","","","Island"
"cg04873963","cg04873963","16",2518322,"","","","Island"
"cg02530705","cg02530705","16",2518497,"","","","Island"
"cg16413675","cg16413675","16",2520055,"NTN3","NM_006181","TSS1500","N_Shore"
"cg03127370","cg03127370","16",2520192,"NTN3","NM_006181","TSS1500","N_Shore"
"cg22721827","cg22721827","16",2520958,"NTN3","NM_006181","TSS1500","N_Shore"
"cg05950943","cg05950943","16",2520971,"NTN3","NM_006181","TSS1500","N_Shore"
"cg22536398","cg22536398","16",2521659,"NTN3;NTN3","NM_006181;NM_006181","1stExon;5'UTR","Island"
"cg04085822","cg04085822","16",2521840,"NTN3","NM_006181","1stExon","Island"
"cg06604968","cg06604968","16",2522266,"NTN3","NM_006181","1stExon","Island"
"cg01337429","cg01337429","16",2522557,"NTN3","NM_006181","1stExon","Island"
"cg16668534","cg16668534","16",2522775,"NTN3","NM_006181","Body","Island"
"cg16549686","cg16549686","16",2523001,"NTN3","NM_006181","Body","Island"
"cg03190267","cg03190267","16",2523468,"NTN3","NM_006181","Body","Island"
"cg06935199","cg06935199","16",2524534,"TBC1D24","NM_020705","TSS1500","Island"
"cg09798333","cg09798333","16",2524725,"TBC1D24","NM_020705","TSS1500","Island"
"cg23646856","cg23646856","16",2524738,"TBC1D24","NM_020705","TSS1500","Island"
"cg03828939","cg03828939","16",2525452,"TBC1D24","NM_020705","5'UTR","Island"
"cg23654112","cg23654112","16",2525928,"TBC1D24","NM_020705","5'UTR","Island"
"cg08190844","cg08190844","16",2526203,"TBC1D24","NM_020705","5'UTR","S_Shore"
"cg09758386","cg09758386","16",2528110,"TBC1D24","NM_020705","5'UTR","S_Shelf"
"cg05819594","cg05819594","16",2533580,"TBC1D24","NM_020705","5'UTR",""
"cg08333708","cg08333708","16",2535757,"TBC1D24","NM_020705","5'UTR",""
"cg00068750","cg00068750","16",2535955,"TBC1D24","NM_020705","5'UTR",""
"cg04242728","cg04242728","16",2536153,"TBC1D24","NM_020705","5'UTR",""
"cg03422651","cg03422651","16",2542324,"TBC1D24","NM_020705","5'UTR","N_Shelf"
"cg00794055","cg00794055","16",2544909,"TBC1D24","NM_020705","5'UTR","N_Shore"
"cg10702669","cg10702669","16",2546265,"TBC1D24","NM_020705","Body","Island"
"cg08664849","cg08664849","16",2546474,"TBC1D24","NM_020705","Body","Island"
"cg05394010","cg05394010","16",2546596,"TBC1D24","NM_020705","Body","Island"
"cg10287545","cg10287545","16",2547038,"TBC1D24","NM_020705","Body","Island"
"cg09370982","cg09370982","16",2547559,"TBC1D24","NM_020705","Body","S_Shore"
"cg04659439","cg04659439","16",2549625,"TBC1D24","NM_020705","Body","N_Shore"
"cg00643876","cg00643876","16",2550122,"TBC1D24","NM_020705","Body","Island"
"cg02774045","cg02774045","16",2550497,"TBC1D24","NM_020705","Body","Island"
"cg01689964","cg01689964","16",2551385,"TBC1D24","NM_020705","3'UTR","S_Shore"
"cg00472758","cg00472758","16",2552820,"TBC1D24","NM_020705","3'UTR","S_Shelf"
"cg02878544","cg02878544","16",2559709,"","","","N_Shelf"
"cg05884711","cg05884711","16",2563274,"ATP6V0C","NM_001694","TSS1500","N_Shore"
"cg05483509","cg05483509","16",2563435,"ATP6V0C","NM_001694","TSS1500","Island"
"cg08770761","cg08770761","16",2563461,"ATP6V0C","NM_001694","TSS1500","Island"
"cg01611626","cg01611626","16",2565338,"ATP6V0C","NM_001694","Body","S_Shore"
"cg27576259","cg27576259","16",2567316,"ATP6V0C","NM_001694","Body","N_Shelf"
"cg00005390","cg00005390","16",2569281,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;Body;TSS1500","N_Shore"
"cg16732884","cg16732884","16",2569654,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;Body;TSS1500","Island"
"cg27211158","cg27211158","16",2569701,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;Body;TSS1500","Island"
"cg26516710","cg26516710","16",2569911,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;3'UTR;TSS1500","Island"
"cg06099703","cg06099703","16",2569920,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;3'UTR;TSS1500","Island"
"cg10347555","cg10347555","16",2569925,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;3'UTR;TSS1500","Island"
"cg12312863","cg12312863","16",2569967,"AMDHD2;ATP6V0C;AMDHD2","NM_015944;NM_001694;NM_001145815","TSS1500;3'UTR;TSS1500","Island"
"cg08802375","cg08802375","16",2570187,"AMDHD2;AMDHD2;ATP6V0C","NM_001145815;NM_015944;NM_001694","TSS200;TSS200;3'UTR","Island"
"cg26921482","cg26921482","16",2570283,"AMDHD2;AMDHD2","NM_001145815;NM_015944","TSS200;TSS200","Island"
"cg09548179","cg09548179","16",2570492,"AMDHD2;AMDHD2","NM_015944;NM_001145815","1stExon;1stExon","Island"
"cg14939446","cg14939446","16",2571015,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","Island"
"cg01923337","cg01923337","16",2571449,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","S_Shore"
"cg01144225","cg01144225","16",2574238,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","N_Shelf"
"cg06425026","cg06425026","16",2577404,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","N_Shore"
"cg00866531","cg00866531","16",2578056,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","Island"
"cg03015899","cg03015899","16",2578331,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;Body","Island"
"cg04634034","cg04634034","16",2579594,"AMDHD2;AMDHD2","NM_001145815;NM_015944","Body;3'UTR","S_Shore"
"cg26456021","cg26456021","16",2580073,"CEMP1;AMDHD2;CEMP1","NM_001048212;NM_001145815;NM_001048212","1stExon;Body;3'UTR","N_Shore"
"cg09709592","cg09709592","16",2580833,"AMDHD2;CEMP1","NM_001145815;NM_001048212","3'UTR;1stExon","N_Shore"
"cg26917551","cg26917551","16",2581122,"CEMP1;CEMP1","NM_001048212;NM_001048212","1stExon;5'UTR","N_Shore"
"cg17023419","cg17023419","16",2581414,"CEMP1;CEMP1","NM_001048212;NM_001048212","1stExon;5'UTR","N_Shore"
"cg00705851","cg00705851","16",2581570,"CEMP1","NM_001048212","TSS200","N_Shore"
"cg08890837","cg08890837","16",2581618,"CEMP1","NM_001048212","TSS200","N_Shore"
"cg09466067","cg09466067","16",2581732,"CEMP1","NM_001048212","TSS1500","Island"
"cg03647944","cg03647944","16",2582597,"CEMP1","NM_001048212","TSS1500","Island"
"cg09122799","cg09122799","16",2582813,"CEMP1","NM_001048212","TSS1500","S_Shore"
"cg09588038","cg09588038","16",2584709,"","","","N_Shelf"
"cg14444710","cg14444710","16",2587080,"PDPK1;PDPK1","NM_031268;NM_002613","TSS1500;TSS1500","N_Shore"
"cg22499237","cg22499237","16",2587546,"PDPK1;PDPK1","NM_031268;NM_002613","TSS1500;TSS1500","N_Shore"
"cg00547444","cg00547444","16",2587590,"PDPK1;PDPK1","NM_031268;NM_002613","TSS1500;TSS1500","N_Shore"
"cg00050555","cg00050555","16",2587651,"PDPK1;PDPK1","NM_031268;NM_002613","TSS1500;TSS1500","N_Shore"
"cg14008524","cg14008524","16",2587876,"PDPK1;PDPK1","NM_031268;NM_002613","TSS200;TSS200","N_Shore"
"cg05242257","cg05242257","16",2588092,"PDPK1;PDPK1;PDPK1;PDPK1","NM_031268;NM_002613;NM_031268;NM_002613","5'UTR;1stExon;1stExon;5'UTR","Island"
"cg02119755","cg02119755","16",2589556,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shore"
"cg01979270","cg01979270","16",2589773,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shore"
"cg04665287","cg04665287","16",2590387,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shore"
"cg09540626","cg09540626","16",2590751,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shelf"
"cg06768741","cg06768741","16",2612744,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","N_Shelf"
"cg00551589","cg00551589","16",2626391,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","N_Shore"
"cg05728166","cg05728166","16",2630397,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shore"
"cg06841964","cg06841964","16",2635445,"PDPK1;PDPK1","NM_031268;NM_002613","Body;Body","S_Shore"
